artist,song
Jack Harlow,Lovin On Me
Taylor Swift,Cruel Summer
Tate McRae,Greedy
Doja Cat,Paint The Town Red
Zach Bryan Featuring Kacey Musgraves,I Remember Everything
SZA,Snooze
Tyla,Water
Morgan Wallen,Last Night
Luke Combs,Fast Car
Doja Cat,Agora Hills
Morgan Wallen,Thinkin' Bout Me
Teddy Swims,Lose Control
Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
Paul Russell,Lil Boo Thang
Miley Cyrus,Flowers
Drake Featuring Sexyy Red & SZA,Rich Baby Daddy
Nicki Minaj,FTCU
Chris Stapleton,White Horse
Noah Kahan,Stick Season
Billie Eilish,What Was I Made For?
Olivia Rodrigo,Vampire
Jelly Roll,Need A Favor
Dua Lipa,Dance The Night
Gunna,Fukumean
Nate Smith,World On Fire
Dua Lipa,Houdini
Nicki Minaj Featuring Lil Uzi Vert,Everybody
Jelly Roll With Lainey Wilson,Save Me
Drake Featuring J. Cole,First Person Shooter
Miley Cyrus,Used To Be Young
SZA,Kill Bill
"Usher, Summer Walker & 21 Savage",Good Good
Warren Zeiders,Pretty Little Poison
Xavi,La Diabla
Victoria Monet,On My Mama
HARDY,Truck Bed
Mitski,My Love Mine All Mine
Dan + Shay,Save Me The Trouble
Tate McRae,Exes
Travis Scott,I Know ?
Jessie Murph & Jelly Roll,Wild Ones
Kenya Grace,Strangers
Bad Bunny,Monaco
JID Featuring 21 Savage & Baby Tate,Surround Sound
Cody Johnson,The Painter
Olivia Rodrigo,Get Him Back!
Flo Milli,Never Lose Me
Noah Kahan With Post Malone,Dial Drunk
Luke Combs,Where The Wild Things Are
Drake,You Broke My Heart
Drake Featuring Yeat,IDGAF
Fuerza Regida & Marshmello,Harley Quinn
Parker McCollum,Burn It Down
Peso Pluma & Anitta,Bellakeo
Xavi,La Victima
Sabrina Carpenter,Feather
Lil Tecca,500lbs
Karol G & Peso Pluma,Qlona
Kane Brown,I Can Feel It
Zach Bryan Featuring The War And Treaty,Hey Driver
Taylor Swift,You're Losing Me (From The Vault)
George Birge,Mind On You
Olivia Rodrigo,Can't Catch Me Now
Riley Green Featuring Luke Combs,Different 'Round Here
Maluma & Carin Leon,Segun Quien
Morgan Wallen Featuring Eric Church,Man Made A Bar
Grupo Frontera & Grupo Firme,El Amor de Su Vida
310babii,Soak City (Do It)
"The Weeknd, JENNIE & Lily Rose Depp",One Of The Girls
Jung Kook,Standing Next To You
Chayce Beckham,23
Bad Bunny & Feid,Perro Negro
Carly Pearce Featuring Chris Stapleton,We Don't Fight Anymore
Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
Zach Bryan,Oklahoma Smokeshow
The Red Clay Strays,Wondering Why
BigXthaPlug,Mmhmm
Rod Wave,Great Gatsby
Travis Scott Featuring Playboi Carti,FE!N
Olivia Rodrigo,Bad Idea Right?
"Peso Pluma, Junior H & Oscar Maydon",Rompe La Dompe
Dylan Scott,Can't Have Mine
Nicki Minaj Featuring Drake,Needle
Drake,Virginia Beach
Oliver Anthony Music,Rich Men North Of Richmond
Noah Kahan With Hozier,Northern Attitude
Taylor Swift,Now That We Don't Talk (Taylor's Version) [From The Vault]
"Juice WRLD, Eminem & benny blanco",Lace It
Karol G,Mi Ex Tenia Razon
Tate McRae,Run For The Hills
Drake Featuring SZA,Slime You Out
*NSYNC,Better Place
Zach Bryan,"Burn, Burn, Burn"
Travis Scott,My Eyes
Rod Wave Featuring 21 Savage,Turks & Caicos
Zach Bryan,Tourniquet
Junior H,Y Lloro
Sophie Ellis-Bextor,Murder On The Dancefloor
Karol G,Amargura
Lainey Wilson,Wildflowers And Wild Horses
