artist,song,H_or_N,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Britney Spears,Oops!...I Did It Again,N,,0.771,0.796,5.0,-3.081,0.0,0.076,0.0993,0.00278,0.0981,0.801,99.316,audio_features,0ekdT3jOhn3LinWtqHhmsw,spotify:track:0ekdT3jOhn3LinWtqHhmsw,https://api.spotify.com/v1/tracks/0ekdT3jOhn3LinWtqHhmsw,https://api.spotify.com/v1/audio-analysis/0ekdT3jOhn3LinWtqHhmsw,265027.0,4.0
blink-182,All The Small Things,N,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,0.63,0.95,1.0,-4.012,1.0,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,audio_features,1uPrIHgYztXSkkcts9jet8,spotify:track:1uPrIHgYztXSkkcts9jet8,https://api.spotify.com/v1/tracks/1uPrIHgYztXSkkcts9jet8,https://api.spotify.com/v1/audio-analysis/1uPrIHgYztXSkkcts9jet8,280627.0,4.0
Faith Hill,Breathe,N,spotify:track:3y4LxiYMgDl4RethdzpmNe,0.721,0.836,8.0,-3.972,0.0,0.206,0.112,0.0,0.235,0.508,126.279,audio_features,3VEZvzr84WVnoorZ4tlBSw,spotify:track:3VEZvzr84WVnoorZ4tlBSw,https://api.spotify.com/v1/tracks/3VEZvzr84WVnoorZ4tlBSw,https://api.spotify.com/v1/audio-analysis/3VEZvzr84WVnoorZ4tlBSw,244053.0,4.0
Bon Jovi,It's My Life,N,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,0.746,0.443,1.0,-7.693,0.0,0.0771,0.282,0.0,0.14,0.272,119.311,audio_features,3w8Mw9GHYepoTWOSdiyosj,spotify:track:3w8Mw9GHYepoTWOSdiyosj,https://api.spotify.com/v1/tracks/3w8Mw9GHYepoTWOSdiyosj,https://api.spotify.com/v1/audio-analysis/3w8Mw9GHYepoTWOSdiyosj,274227.0,4.0
*NSYNC,Bye Bye Bye,N,spotify:track:62bOmKYxYg7dhrC6gH9vFn,0.8,0.922,4.0,-5.125,0.0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,audio_features,0s46SltT4On0Z6kglK1I5c,spotify:track:0s46SltT4On0Z6kglK1I5c,https://api.spotify.com/v1/tracks/0s46SltT4On0Z6kglK1I5c,https://api.spotify.com/v1/audio-analysis/0s46SltT4On0Z6kglK1I5c,227867.0,4.0
Sisqo,Thong Song,N,spotify:track:5Mmk2ii6laakqfeCT7OnVD,0.348,0.532,10.0,-5.882,1.0,0.0331,0.592,0.0,0.106,0.148,129.297,audio_features,1RS3LStQYhju50eBdD9Uul,spotify:track:1RS3LStQYhju50eBdD9Uul,https://api.spotify.com/v1/tracks/1RS3LStQYhju50eBdD9Uul,https://api.spotify.com/v1/audio-analysis/1RS3LStQYhju50eBdD9Uul,257360.0,4.0
Eminem,The Real Slim Shady,N,spotify:track:3yfqSUWxFvZELEM4PmlwIR,0.869,0.887,0.0,-4.505,1.0,0.0993,0.0605,0.0,0.148,0.784,129.221,audio_features,1H5tvpoApNDxvxDexoaAUo,spotify:track:1H5tvpoApNDxvxDexoaAUo,https://api.spotify.com/v1/tracks/1H5tvpoApNDxvxDexoaAUo,https://api.spotify.com/v1/audio-analysis/1H5tvpoApNDxvxDexoaAUo,198400.0,4.0
Robbie Williams,Rock DJ,N,spotify:track:7oQSevUCbYs4QawXTHQVV1,0.854,0.543,8.0,-6.166,0.0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,audio_features,5PMKzsUsTpZZGsCcJBuhP2,spotify:track:5PMKzsUsTpZZGsCcJBuhP2,https://api.spotify.com/v1/tracks/5PMKzsUsTpZZGsCcJBuhP2,https://api.spotify.com/v1/audio-analysis/5PMKzsUsTpZZGsCcJBuhP2,243733.0,4.0
Destiny's Child,Say My Name,N,spotify:track:7H6ev70Weq6DdpZyyTmUXk,0.628,0.834,6.0,-6.341,0.0,0.0497,0.403,0.0,0.051,0.626,97.865,audio_features,2AogRMqARWyUP7VQ3gmSoY,spotify:track:2AogRMqARWyUP7VQ3gmSoY,https://api.spotify.com/v1/tracks/2AogRMqARWyUP7VQ3gmSoY,https://api.spotify.com/v1/audio-analysis/2AogRMqARWyUP7VQ3gmSoY,215507.0,4.0
Modjo,Lady - Hear Me Tonight,N,spotify:track:49X0LAl6faAusYq02PRAY6,0.408,0.857,2.0,-5.71,1.0,0.034,0.0131,7.44e-05,0.528,0.622,84.197,audio_features,7kFbTUR31qyzrjjary7llr,spotify:track:7kFbTUR31qyzrjjary7llr,https://api.spotify.com/v1/tracks/7kFbTUR31qyzrjjary7llr,https://api.spotify.com/v1/audio-analysis/7kFbTUR31qyzrjjary7llr,278693.0,4.0
Gigi D'Agostino,L'Amour Toujours,N,spotify:track:52LJ3hyknOijCrE5gCD0rE,0.666,0.968,10.0,-3.196,1.0,0.046,0.123,0.0,0.347,0.834,135.099,audio_features,0HNXnhNZZtRZFLhP4hfyCP,spotify:track:0HNXnhNZZtRZFLhP4hfyCP,https://api.spotify.com/v1/tracks/0HNXnhNZZtRZFLhP4hfyCP,https://api.spotify.com/v1/audio-analysis/0HNXnhNZZtRZFLhP4hfyCP,219240.0,4.0
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,N,spotify:track:3cqZlRpC4lOnxUE7HE3N5k,0.534,0.87,11.0,-3.078,0.0,0.0425,0.000334,0.0,0.241,0.462,126.019,audio_features,0JiY190vktuhSGN6aqJdrt,spotify:track:0JiY190vktuhSGN6aqJdrt,https://api.spotify.com/v1/tracks/0JiY190vktuhSGN6aqJdrt,https://api.spotify.com/v1/audio-analysis/0JiY190vktuhSGN6aqJdrt,215160.0,4.0
Bomfunk MC's,Freestyler,N,spotify:track:2xaFtNhCw5Q4hn1EKsrkLv,0.488,0.481,1.0,-7.264,1.0,0.0335,0.583,0.0,0.105,0.316,117.542,audio_features,0Ac0Ge47UpkVceZyPin7IP,spotify:track:0Ac0Ge47UpkVceZyPin7IP,https://api.spotify.com/v1/tracks/0Ac0Ge47UpkVceZyPin7IP,https://api.spotify.com/v1/audio-analysis/0Ac0Ge47UpkVceZyPin7IP,200427.0,4.0
Sting,Desert Rose,N,spotify:track:4WhyHQ2BXi2VU1iaFbF6jv,0.682,0.714,8.0,-8.167,1.0,0.0378,0.375,0.00692,0.0605,0.823,132.501,audio_features,5VcBWDAJmddAY5N8jLfNB2,spotify:track:5VcBWDAJmddAY5N8jLfNB2,https://api.spotify.com/v1/tracks/5VcBWDAJmddAY5N8jLfNB2,https://api.spotify.com/v1/audio-analysis/5VcBWDAJmddAY5N8jLfNB2,256499.0,4.0
